Country,Unit,2016,2017,2018,2019,2020,2021
Afghanistan,% growth,4.384,4.976,0.626,2.302,5.607,5.062
American Samoa,% growth,2.23,3.045,3.545,4.045,4.045,4.045
Armenia,% growth,-1.406,0.974,2.521,1.443,1.23,6.947
Azerbaijan,% growth,12.438,12.844,2.359,2.73,2.824,6.656
Bangladesh,% growth,5.514,5.702,5.544,5.592,5.691,5.544
Bhutan,% growth,3.28,4.31,3.66,2.82,4.15,6.271
Brunei Darussalam,% growth,-0.383,-1.261,1.053,-0.418,1.937,2.5
Cambodia,% growth,3.022,2.913,2.462,1.94,2.94,2.758
China,% growth,2.0,1.593,2.075,2.899,2.419,0.98
Fiji,% growth,3.865,3.351,4.08,1.773,-2.593,1.1
French Polynesia,% growth,1.346,1.735,1.805,1.808,1.808,1.808
Guam,% growth,3.199,3.532,3.545,3.511,3.519,3.517
"Hong Kong, China",% growth,2.409,1.494,2.406,2.883,0.251,1.529
India,% growth,4.941,2.491,4.861,7.66,5.561,4.887
Indonesia,% growth,3.526,3.809,3.198,3.031,1.921,1.561
Japan,% growth,-0.127,0.484,0.989,0.469,-0.025,-0.087
Kazakhstan,% growth,14.546,7.43,6.016,5.252,6.786,8.011
Kiribati,% growth,1.917,0.356,0.564,-1.813,1.811,3.307
Kyrgyzstan,% growth,0.422,3.175,1.543,1.136,6.323,12.997
Laos,% growth,1.598,0.825,2.016,3.188,5.233,3.778
"Macau, China",% growth,2.374,1.228,3.004,2.752,0.811,-0.25
Malaysia,% growth,1.825,4.142,0.885,0.663,-1.139,2.477
Maldives,% growth,0.801,2.272,1.367,1.326,-1.594,1.43
Mongolia,% growth,0.554,4.318,6.828,7.26,3.717,5.4
Myanmar,% growth,6.928,4.572,6.872,8.825,3.787,5.058
Nauru,% growth,8.15,5.082,0.463,4.3,0.891,1.2
Nepal,% growth,9.932,4.454,4.147,4.639,6.15,3.598
New Caledonia,% growth,0.578,1.468,2.18,2.147,2.155,2.153
North Korea,% growth,-0.565,7.167,2.313,2.972,3.801,4.944
Pakistan,% growth,3.765,4.085,5.077,10.196,9.55,9.514
Papua New Guinea,% growth,6.674,5.422,4.71,3.682,4.872,3.63
Philippines,% growth,1.259,2.858,5.212,2.48,2.635,4.391
Samoa,% growth,1.304,1.298,3.672,2.195,1.486,-3.0
Singapore,% growth,-0.532,0.576,0.439,0.565,-0.182,2.305
Solomon Islands,% growth,0.497,0.503,3.475,1.635,2.964,2.423
South Korea,% growth,0.97,1.946,1.475,0.382,0.538,2.498
Sri Lanka,% growth,3.959,7.704,2.135,3.528,6.154,7.008
Taiwan,% growth,1.392,0.621,1.35,0.56,-0.239,1.971
Tajikistan,% growth,5.914,7.31,3.843,7.793,8.589,7.95
Thailand,% growth,0.188,0.66,1.072,0.707,-0.847,1.231
Tonga,% growth,2.58,7.201,6.782,3.472,0.423,1.414
Turkmenistan,% growth,3.646,8.041,13.3,5.092,7.583,12.45
Tuvalu,% growth,3.491,4.087,2.16,3.492,1.57,2.456
Uzbekistan,% growth,8.824,13.876,17.524,14.526,12.855,10.967
Vanuatu,% growth,0.842,3.085,2.331,2.746,5.678,5.413
Vietnam,% growth,3.242,3.513,3.539,2.795,3.22,1.835
Australia,% growth,1.277,1.949,1.911,1.611,0.847,2.864
New Zealand,% growth,0.646,1.851,1.598,1.62,1.715,3.941
Albania,% growth,1.287,1.986,2.008,1.438,1.603,1.956
Belarus,% growth,11.829,6.032,4.867,5.6,5.536,9.455
Bosnia and Herzegovina,% growth,-1.093,1.17,1.414,0.536,-1.041,1.997
Bulgaria,% growth,-0.799,2.062,2.815,3.104,1.672,3.295
Croatia,% growth,-1.125,1.129,1.5,0.772,0.155,2.553
Czech Republic,% growth,0.661,2.467,2.142,2.842,3.156,3.853
Estonia,% growth,0.149,3.415,3.433,2.288,-0.448,4.647
Georgia,% growth,2.135,6.035,2.615,4.853,5.204,9.567
Hungary,% growth,0.395,2.348,2.85,3.339,3.327,5.109
Kosovo,% growth,0.3,1.479,1.056,2.666,0.197,3.134
Latvia,% growth,0.129,2.948,2.511,2.835,0.211,3.279
Lithuania,% growth,0.906,3.723,2.698,2.335,1.2,4.682
Moldova,% growth,6.384,6.576,3.59,4.294,4.363,2.969
Montenegro,% growth,-0.268,2.373,2.604,0.366,-0.238,1.993
North Macedonia,% growth,-0.239,1.352,1.458,0.766,1.2,3.23
Poland,% growth,-0.665,2.076,1.813,2.227,3.374,5.055
Romania,% growth,-1.529,1.346,4.624,3.821,2.635,5.054
Russia,% growth,7.042,3.683,2.878,4.47,3.382,6.691
Serbia,% growth,1.122,3.131,1.96,1.849,1.576,4.083
Slovakia,% growth,-0.52,1.312,2.514,2.665,1.937,3.149
Slovenia,% growth,-0.055,1.429,1.739,1.631,-0.055,1.916
Ukraine,% growth,13.931,14.434,10.965,7.873,2.74,9.35
Anguilla,% growth,-0.522,1.762,2.0,2.239,2.345,2.387
Antigua and Barbuda,% growth,-0.489,2.432,1.211,1.431,1.058,1.584
Argentina,% growth,41.545,25.234,34.147,53.687,41.968,48.32
Aruba,% growth,-0.932,-1.028,3.626,3.939,-1.312,0.265
Bahamas,% growth,-0.346,1.5,2.268,2.491,0.039,3.021
Barbados,% growth,1.512,4.41,3.688,4.1,2.882,2.468
Belize,% growth,0.663,1.148,0.27,0.187,0.122,3.1
Bermuda,% growth,1.511,1.987,1.949,1.957,1.957,1.956
Bolivia,% growth,3.623,2.823,2.272,1.839,0.942,0.736
Brazil,% growth,8.739,3.446,3.665,3.733,3.212,8.298
British Virgin Islands,% growth,3.523,3.812,3.812,3.816,3.816,3.816
Cayman Islands,% growth,2.481,2.291,2.39,2.39,2.39,2.39
Chile,% growth,3.769,1.992,2.298,2.254,3.045,4.522
Colombia,% growth,7.513,4.316,3.241,3.52,2.525,3.495
Costa Rica,% growth,-0.017,1.626,2.221,2.096,0.725,1.722
Cuba,% growth,2.287,2.669,2.65,2.656,2.656,2.656
Curacao,% growth,0.0,1.6,2.6,2.6,2.7,2.8
Dominica,% growth,0.142,0.296,0.989,1.505,-0.727,1.451
Dominican Republic,% growth,1.614,3.28,3.564,1.811,3.781,8.241
Ecuador,% growth,1.728,0.417,-0.224,0.266,-0.339,0.132
El Salvador,% growth,0.604,1.014,1.088,0.074,-0.37,3.468
French Guiana,% growth,1.147,0.75,1.3,1.937,2.134,2.322
Grenada,% growth,1.644,0.911,0.805,0.599,-0.742,2.513
Guadeloupe,% growth,0.775,1.378,1.565,1.762,1.949,1.963
Guatemala,% growth,4.448,4.425,3.752,3.7,3.214,4.26
Guyana,% growth,0.739,1.944,1.272,2.092,0.722,3.24
Haiti,% growth,13.834,14.738,12.885,17.308,22.945,16.166
Honduras,% growth,2.725,3.934,4.347,4.366,3.468,4.479
Jamaica,% growth,2.349,4.376,3.74,3.91,5.21,5.605
Martinique,% growth,-0.258,0.567,1.181,1.068,1.093,1.086
Mexico,% growth,2.822,6.041,4.899,3.636,3.397,5.689
Nicaragua,% growth,3.52,3.851,4.947,5.376,3.682,4.132
Panama,% growth,0.74,0.876,0.762,-0.355,-1.55,1.445
Paraguay,% growth,4.087,3.602,3.976,2.757,1.768,4.786
Peru,% growth,3.593,2.804,1.317,2.136,1.827,3.978
Puerto Rico,% growth,-0.294,1.752,1.272,0.084,-0.497,3.957
Sint Maarten,% growth,0.1,2.2,2.7,0.39,0.71,3.2
St Kitts and Nevis,% growth,-0.688,0.696,-1.036,-0.331,-0.589,-0.972
St Lucia,% growth,-3.079,0.105,2.386,0.536,-1.753,2.525
St Vincent and the Grenadines,% growth,-0.15,2.183,2.324,0.906,-0.606,1.953
Suriname,% growth,52.336,22.024,6.939,4.392,34.89,54.388
Trinidad and Tobago,% growth,3.06,1.884,1.019,1.001,0.599,1.04
Uruguay,% growth,9.639,6.218,7.607,7.882,9.756,7.746
US Virgin Islands,% growth,0.989,1.772,2.233,2.241,2.241,2.24
Venezuela,% growth,254.949,438.117,65374.082,19906.024,2355.148,1589.033
Algeria,% growth,5.789,5.935,3.506,2.354,2.09,3.856
Angola,% growth,30.694,29.844,19.629,17.079,22.277,24.387
Bahrain,% growth,2.799,1.387,2.085,1.003,-2.317,-0.615
Benin,% growth,-0.93,1.769,0.849,-0.933,3.049,3.0
Botswana,% growth,2.81,3.296,3.241,2.745,1.89,5.803
Burkina Faso,% growth,-0.247,0.351,1.956,-3.233,1.885,3.0
Burundi,% growth,5.538,16.597,-2.767,-0.709,7.305,5.573
Cabo Verde,% growth,-1.408,0.783,1.275,1.106,0.605,1.5
Cameroon,% growth,0.865,0.642,1.066,2.452,2.438,2.3
Central African Republic,% growth,4.945,4.181,1.612,2.685,2.304,3.654
Chad,% growth,-1.632,-0.897,4.037,-0.972,4.464,2.627
Comoros,% growth,0.802,0.092,1.702,3.701,0.8,-1.045
"Congo, Democratic Republic",% growth,3.153,35.787,29.266,4.705,11.358,9.393
Congo-Brazzaville,% growth,3.191,0.449,1.153,2.207,1.818,1.983
Côte d'Ivoire,% growth,1.016,0.933,0.422,0.841,2.423,4.176
Djibouti,% growth,2.738,0.568,0.148,3.319,1.777,1.155
Egypt,% growth,13.644,29.506,14.406,9.146,5.045,5.213
Equatorial Guinea,% growth,1.42,0.746,1.346,1.213,4.798,0.516
Eritrea,% growth,-5.577,-13.306,-14.401,-16.365,4.842,4.306
Eswatini,% growth,7.846,6.221,4.825,2.598,3.872,4.295
Ethiopia,% growth,7.254,9.935,13.237,15.527,20.605,26.775
Gabon,% growth,2.107,2.652,4.777,2.022,1.341,2.0
Gambia,% growth,7.22,8.049,6.521,7.116,5.931,7.035
Ghana,% growth,17.455,12.372,9.838,8.665,9.944,9.945
Guinea,% growth,8.174,8.914,9.826,9.471,10.602,11.6
Guinea-Bissau,% growth,1.694,-0.186,0.381,0.286,1.463,1.904
Iran,% growth,10.155,9.617,12.135,25.92,29.679,43.387
Iraq,% growth,0.462,0.2,0.351,-0.199,0.574,6.339
Israel,% growth,-0.546,0.245,0.817,0.844,-0.588,1.492
Jordan,% growth,-0.778,3.324,4.462,0.762,0.333,1.345
Kenya,% growth,6.298,8.005,4.69,5.203,5.279,6.11
Kuwait,% growth,3.228,1.527,0.557,1.092,2.102,3.204
Lebanon,% growth,-0.783,4.442,6.068,2.896,84.864,154.706
Lesotho,% growth,6.609,4.448,4.752,5.187,4.978,5.831
Liberia,% growth,8.834,12.435,23.547,26.969,16.953,5.867
Libya,% growth,24.013,28.047,-1.196,0.214,2.817,21.11
Madagascar,% growth,6.056,8.59,8.598,5.623,4.188,6.0
Malawi,% growth,21.707,11.541,9.215,9.378,8.639,9.456
Mali,% growth,-1.8,1.764,1.734,-2.894,0.536,3.044
Mauritania,% growth,1.486,2.269,3.053,2.306,2.264,2.663
Mauritius,% growth,1.024,3.675,3.231,0.454,2.52,5.145
Morocco,% growth,1.635,0.755,1.795,0.312,0.603,1.399
Mozambique,% growth,9.966,15.113,3.911,2.781,3.142,6.176
Namibia,% growth,6.712,6.147,4.294,3.721,2.209,4.042
Niger,% growth,0.171,0.19,2.753,-2.52,2.898,2.901
Nigeria,% growth,15.697,16.502,12.095,11.396,13.245,16.947
Oman,% growth,1.109,1.597,0.881,0.134,-0.904,1.178
Qatar,% growth,2.677,0.395,0.303,-0.662,-2.587,2.325
Réunion,% growth,0.117,0.34,1.699,1.896,2.083,2.096
Rwanda,% growth,5.725,4.837,1.364,2.426,7.716,2.4
Sao Tomé e Príncipe,% growth,5.433,5.693,7.864,7.724,9.821,8.324
Saudi Arabia,% growth,2.07,-0.837,2.459,-2.096,3.439,3.068
Senegal,% growth,1.192,1.143,0.455,1.02,2.529,2.441
Seychelles,% growth,-1.016,2.859,3.699,1.807,1.203,9.962
Sierra Leone,% growth,10.883,18.22,16.033,14.803,13.447,11.348
Somalia,% growth,1.214,6.091,3.22,3.13,4.1,2.5
South Africa,% growth,6.595,5.181,4.505,4.124,3.224,4.608
South Sudan,% growth,379.849,187.852,83.502,51.187,23.984,23.0
Sudan,% growth,17.75,32.352,63.293,50.994,163.258,194.603
Syria,% growth,47.705,18.087,0.933,4.755,2.34,2.301
Tanzania,% growth,5.171,5.319,3.51,3.449,3.29,3.691
Togo,% growth,0.854,-0.215,0.928,0.687,1.831,2.747
Tunisia,% growth,3.711,5.329,7.445,6.806,5.624,5.708
Uganda,% growth,5.459,5.634,2.625,2.864,3.801,2.575
United Arab Emirates,% growth,1.711,1.976,3.065,-1.864,-2.077,0.18
Yemen,% growth,21.3,30.4,27.6,12.007,23.095,40.745
Zambia,% growth,17.87,6.577,6.993,9.151,15.733,22.8
Zimbabwe,% growth,-1.558,0.907,10.607,-6.504,16.679,11.895
Canada,% growth,1.429,1.597,2.268,1.949,0.717,3.379
USA,% growth,1.262,2.13,2.443,1.812,1.234,4.711
Andorra,% growth,0.175,1.015,1.268,1.583,1.698,1.7
Austria,% growth,0.892,2.081,1.998,1.531,1.382,2.767
Belgium,% growth,1.974,2.126,2.053,1.437,0.741,2.44
Cyprus,% growth,-1.213,0.679,0.783,0.551,-1.097,1.671
Denmark,% growth,0.25,1.147,0.814,0.758,0.421,1.853
