Country,Annual-Nominal (US$),Annual-PPP (Int$),Workweek  (hours),Hourly-Nominal (US$),Hourly-PPP (Int$),Percents�of  GDP per capita,Effective per
Afghanistan,1047,3272,40,0.5,1.57,168.30%,2017
Albania,2418,5218,40,1.16,2.51,45.20%,05-May-17
Algeria,2163,6247,40,1.04,3,41.60%,01-May-20
Andorra,14243,11020,40,6.85,5.3,28%,01-Jan-19
Angola,1681,2108,44,0.73,0.92,32.70%,01-Apr-19
Antigua and Barbuda,6317,7788,40,3.04,3.74,34.40%,01-Nov-14
Argentina,7108,28722,48,2.85,11.51,144%,01-Dec-20
Armenia,1690,4140,40,0.81,1.99,46.90%,01-Jul-19
Australia,30152,24499,38,15.26,12.4,53.20%,01-Jul-20
Austria,,,40,,,,2017
Azerbaijan,1744,8571,40,0.84,4.12,49.70%,01-Mar-19
The Bahamas,10920,9579,40,5.25,4.61,42.50%,15-Aug-15
Bahrain,,,48,,,,2017
Bangladesh,224,564,48,0.09,0.23,15.80%,01-Dec-13
Barbados,6500,5285,40,3.13,2.54,29.30%,01-Mar-12
Belarus,2052,8082,40,0.99,3.89,44.70%,01-Jan-19
Belgium,22565,21734,38,11.42,11,46.80%,01-Jan-19
Belize,3861,6774,45,1.65,2.89,80.10%,26-May-12
Benin,825,2149,40,0.4,1.03,99.10%,01-Apr-14
Bhutan,691,2020,40,0.33,0.97,22.70%,01-Feb-14
Bolivia,3992,8019,48,1.6,3.21,110.90%,01-May-19
Bosnia and Herzegovina,2800,6015,40,1.35,2.89,49.40%,2015
Botswana,719,1406,48,0.29,0.56,8.30%,01-Jun-16
Brazil,3644,6458,44,1.59,2.82,42.70%,2021
Brunei,,,48,,,,2017
Bulgaria,4399,10206,40,2.11,4.91,53%,01-Jan-20
Burkina Faso,715,1905,40,0.34,0.92,107.60%,01-Apr-12
Burundi,,,40,,,,2017
Cambodia,,,48,,,,01-Jan-19
Cameroon,748,1819,40,0.36,0.87,50.40%,30-Jul-14
Canada,21920,20953,40,10.54,10.07,46.70%,01-Jun-20
Cape Verde,1595,3414,44,0.7,1.49,52.10%,01-Jan-18
Central African Republic,782,1392,40,0.38,0.67,199.30%,2011
Chad,1237,3484,39,0.61,1.72,175%,18-Oct-11
Chile,6039,8609,45,2.58,3.68,37.10%,07-Nov-20
China,1945,3491,40,0.94,1.68,22.50%,31-Jul-18
Colombia,4317,9289,48,1.73,3.72,65.60%,01-Jan-20
Comoros,1512,3037,40,0.73,1.46,199.50%,2017
Democratic Republic of the Congo,298,741,45,0.13,0.32,92.40%,01-Jan-09
Republic of the Congo,1855,6958,40,0.89,3.35,121.70%,2017
Costa Rica,6702,10191,48,2.69,4.08,61.40%,01-Jan-20
Côte d'Ivoire,755,1868,40,0.36,0.9,50.60%,1994
Croatia,6798,11250,40,3.27,5.41,48%,01-Jan-19
