Country,Workweek (hours),Hourly ($),% of GDP per capita,Daily ($),Daily (฿),Monthly (฿)
Afghanistan,40.0,0.5,168.3,20.0,644.6,19338.0
Albania,40.0,1.16,45.2,46.4,1495.47,44864.1
Algeria,40.0,1.04,41.6,41.6,1340.77,40223.1
Andorra,40.0,6.85,28.0,274.0,8831.02,264930.6
Angola,44.0,0.73,32.7,32.12,1035.23,31056.9
Antigua and Barbuda,40.0,3.04,34.4,121.6,3919.17,117575.1
Argentina,48.0,2.85,144.0,136.8,4409.06,132271.8
Armenia,40.0,0.81,46.9,32.400000000000006,1044.25,31327.5
Australia,38.0,15.26,53.2,579.88,18689.53,560685.9
Azerbaijan,40.0,0.84,49.7,33.6,1082.93,32487.9
The Bahamas,40.0,5.25,42.5,210.0,6768.3,203049.0
Bangladesh,48.0,0.09,15.8,4.32,139.23,4176.9
Barbados,40.0,3.13,29.3,125.19999999999999,4035.2,121056.0
Belarus,40.0,0.99,44.7,39.6,1276.31,38289.3
Belgium,38.0,11.42,46.8,433.96,13986.53,419595.9
Belize,45.0,1.65,80.1,74.25,2393.08,71792.4
Benin,40.0,0.4,99.1,16.0,515.68,15470.4
Bhutan,40.0,0.33,22.7,13.200000000000001,425.44,12763.2
Bolivia,48.0,1.6,110.9,76.80000000000001,2475.26,74257.8
Bosnia and Herzegovina,40.0,1.35,49.4,54.0,1740.42,52212.6
Botswana,48.0,0.29,8.3,13.919999999999998,448.64,13459.2
Brazil,44.0,1.59,42.7,69.96000000000001,2254.81,67644.3
Bulgaria,40.0,2.11,53.0,84.39999999999999,2720.21,81606.3
Burkina Faso,40.0,0.34,107.6,13.600000000000001,438.33,13149.9
Cameroon,40.0,0.36,50.4,14.399999999999999,464.11,13923.3
Canada,40.0,10.54,46.7,421.59999999999997,13588.17,407645.1
Cape Verde,44.0,0.7,52.1,30.799999999999997,992.68,29780.4
Central African Republic,40.0,0.38,199.3,15.2,489.9,14697.0
Chad,39.0,0.61,175.0,23.79,766.75,23002.5
Chile,45.0,2.58,37.1,116.10000000000001,3741.9,112257.0
China,40.0,0.94,22.5,37.599999999999994,1211.85,36355.5
Colombia,48.0,1.73,65.6,83.03999999999999,2676.38,80291.4
Comoros,40.0,0.73,199.5,29.2,941.12,28233.6
Democratic Republic of the Congo,45.0,0.13,92.4,5.8500000000000005,188.55,5656.5
Republic of the Congo,40.0,0.89,121.7,35.6,1147.39,34421.7
Costa Rica,48.0,2.69,61.4,129.12,4161.54,124846.2
Côte d'Ivoire,40.0,0.36,50.6,14.399999999999999,464.11,13923.3
Croatia,40.0,3.27,48.0,130.8,4215.68,126470.4
Cuba,48.0,0.44,0.4,21.12,680.7,20421.0
Czech Republic,40.0,3.73,36.6,149.2,4808.72,144261.6
Dominica,40.0,1.48,38.6,59.2,1908.02,57240.6
Dominican Republic,44.0,0.38,12.3,16.72,538.89,16166.7
Ecuador,40.0,2.5,75.8,100.0,3223.0,96690.0
El Salvador,44.0,1.6,81.5,70.4,2268.99,68069.7
Equatorial Guinea,48.0,1.07,17.2,51.36,1655.33,49659.9
Estonia,40.0,3.79,36.8,151.6,4886.07,146582.1
Eswatini,48.0,0.33,19.0,15.84,510.52,15315.6
Fiji,48.0,1.29,57.4,61.92,1995.68,59870.4
France,35.0,11.62,50.8,406.7,13107.94,393238.2
Gabon,40.0,1.49,26.9,59.6,1920.91,57627.3
The Gambia,48.0,0.13,57.1,6.24,201.12,6033.6
Georgia,40.0,0.06,3.5,2.4,77.35,2320.5
Germany,40.0,10.83,48.0,433.2,13962.04,418861.2
Ghana,40.0,0.28,41.0,11.200000000000001,360.98,10829.4
Greece,40.0,5.16,50.0,206.4,6652.27,199568.1
Guatemala,48.0,1.65,87.8,79.19999999999999,2552.62,76578.6
Guinea-Bissau,45.0,0.17,58.1,7.65,246.56,7396.8
Guyana,40.0,0.98,40.9,39.2,1263.42,37902.6
Haiti,48.0,0.57,179.1,27.36,881.81,26454.3
Honduras,44.0,1.08,104.5,47.52,1531.57,45947.1
Hong Kong,40.0,4.83,20.6,193.2,6226.84,186805.2
Hungary,40.0,3.38,48.4,135.2,4357.5,130725.0
India,48.0,0.28,38.0,13.440000000000001,433.17,12995.1
Indonesia,40.0,1.26,60.5,50.4,1624.39,48731.7
Iran,44.0,0.71,27.5,31.24,1006.87,30206.1
Iraq,40.0,1.22,30.1,48.8,1572.82,47184.6
Ireland,39.0,11.92,28.7,464.88,14983.08,449492.4
Israel,42.0,8.09,38.6,339.78,10951.11,328533.3
Jamaica,40.0,1.37,51.7,54.800000000000004,1766.2,52986.0
Japan,40.0,7.27,36.4,290.79999999999995,9372.48,281174.4
Jordan,48.0,2.17,128.6,104.16,3357.08,100712.4
Kazakhstan,40.0,0.5,11.8,20.0,644.6,19338.0
