PROVINCE_NAME,LOCATION_CODE,PROV_CODE,MIN_WAGES,YEAR,ANNOUNCE_DD,EFFECT_DD,CREATE_DATE,CREATE_USER,UPDATE_DATE,UPDATE_USER
กระบี่,810000,81,325,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
กรุงเทพมหานคร,100000,10,331,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
กาญจนบุรี,710000,71,320,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
กาฬสินธุ์,460000,46,323,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
กำแพงเพชร,620000,62,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ขอนแก่น,400000,40,325,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
จันทบุรี,220000,22,323,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ฉะเชิงเทรา,240000,24,330,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ชลบุรี,200000,20,336,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ชัยนาท,180000,18,320,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ชัยภูมิ,360000,36,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ชุมพร,860000,86,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
เชียงราย,570000,57,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
เชียงใหม่,500000,50,325,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ตรัง,920000,92,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ตราด,230000,23,325,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
ตาก,630000,63,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นครนายก,260000,26,323,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นครปฐม,730000,73,331,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นครพนม,480000,48,320,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นครราชสีมา,300000,30,325,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นครศรีธรรมราช,800000,80,315,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นครสวรรค์,600000,60,320,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นนทบุรี,120000,12,331,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
นราธิวาส,960000,96,313,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
น่าน,550000,55,320,2563,6 ธ.ค. 62,1 ม.ค. 63,22 ม.ค. 63,,,
