จังหวัด,ค่าแรงขั้นต่ำต่อเดือน (฿)
กระบี่,9750
กรุงเทพมหานคร,9930
กาญจนบุรี,9600
กาฬสินธุ์,9690
กำแพงเพชร,9450
ขอนแก่น,9750
จันทบุรี,9690
ฉะเชิงเทรา,9900
ชลบุรี,10080
ชัยนาท,9600
ชัยภูมิ,9450
ชุมพร,9450
เชียงราย,9450
เชียงใหม่,9750
ตรัง,9450
ตราด,9750
ตาก,9450
นครนายก,9690
นครปฐม,9930
นครพนม,9600
นครราชสีมา,9750
นครศรีธรรมราช,9450
นครสวรรค์,9600
นนทบุรี,9930
นราธิวาส,9390
น่าน,9600
บุรีรัมย์,9600
ปทุมธานี,9930
ประจวบคีรีขันธ์,9600
ปราจีนบุรี,9720
ปัตตานี,9390
พระนครศรีอยุธยา,9750
พะเยา,9600
พังงา,9750
พัทลุง,9600
พิจิตร,9450
พิษณุโลก,9600
เพชรบุรี,9600
เพชรบูรณ์,9600
แพร่,9450
ภูเก็ต,10080
มหาสารคาม,9450
มุกดาหาร,9690
แม่ฮ่องสอน,9450
ยโสธร,9600
ยะลา,9390
ร้อยเอ็ด,9600
ระนอง,9450
ระยอง,10050
ราชบุรี,9450
ลพบุรี,9750
ลำปาง,9450
ลำพูน,9450
เลย,9600
ศรีสะเกษ,9450
สกลนคร,9690
สงขลา,9750
สตูล,9450
สมุทรปราการ,9930
สมุทรสงคราม,9690
สมุทรสาคร,9930
สระแก้ว,9600
สระบุรี,9750
สิงห์บุรี,9450
สุโขทัย,9450
สุพรรณบุรี,9750
สุราษฎร์ธานี,9750
สุรินทร์,9600
หนองคาย,9750
หนองบัวลำภู,9450
อ่างทอง,9600
อำนาจเจริญ,9450
อุดรธานี,9600
อุตรดิตถ์,9600
อุทัยธานี,9450
อุบลราชธานี,9750
บึงกาฬ,9600
