year,quarter,area,level_of_edu,sex,value,unit,source
2556,ไตรมาสที่ 1,รวม,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,รวม,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,รวม,รวม,หญิง,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,หญิง,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,รวม,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,รวม,รวม,ชาย,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,รวม,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,ชาย,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,รวม,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,รวม,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,รวม,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
